# Nikon D750 Capabilities (Merged, Deduplicated)
# Source: CameraCapabilities.txt, D750Capabilities.txt, D750Capabilities2.txt
# Note: Lines consolidated and duplicate entries removed.

ID: kNkMAIDCapability_Slot2ImageSaveMode, Description: Slot2 Image Save Mode, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_CompressRAWBitMode, Description: Compress RAW  Bit Mode, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_PictureControl, Description: Picture Control, Type: kNkMAIDCapType_Enum, Operations: 14
ID: kNkMAIDCapability_Active_D_Lighting, Description: Active D Lighting, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_LiveViewStatus, Description: Live View Status, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_LiveViewImageZoomRate, Description: Live View Image Zoom Rate, Type: kNkMAIDCapType_Enum, Operations: 14
ID: kNkMAIDCapability_ContrastAF, Description: Contrast AF, Type: kNkMAIDCapType_Unsigned, Operations: 6
ID: kNkMAIDCapability_DeleteDramImage, Description: Delete Dram Image, Type: kNkMAIDCapType_Process, Operations: kNkMAIDCapOperation_Start
ID: kNkMAIDCapability_GetLiveViewImage, Description: Get Live View Image, Type: kNkMAIDCapType_Array, Operations: 10
ID: kNkMAIDCapability_MFDriveStep, Description: MFDrive Step, Type: kNkMAIDCapType_Range, Operations: 6
ID: kNkMAIDCapability_MFDrive, Description: MFDrive, Type: kNkMAIDCapType_Unsigned, Operations: kNkMAIDCapOperation_Set
ID: kNkMAIDCapability_ContrastAFArea, Description: Contrast AF Area, Type: kNkMAIDCapType_Point, Operations: kNkMAIDCapOperation_Set
ID: kNkMAIDCapability_CompressRAWEx, Description: Compress RAW data, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_WBFluorescentType, Description: WB Fluorescent Type, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_WBTuneColorAdjust, Description: WB Tune Color Adjustment, Type: kNkMAIDCapType_Range, Operations: 6
ID: kNkMAIDCapability_WBTunePreset1, Description: WB Tune Preset1, Type: kNkMAIDCapType_Range, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_WBTunePreset2, Description: WB Tune Preset2, Type: kNkMAIDCapType_Range, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_WBTunePreset3, Description: WB Tune Preset3, Type: kNkMAIDCapType_Range, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_WBTunePreset4, Description: WB Tune Preset4, Type: kNkMAIDCapType_Range, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_WBTunePreset5, Description: WB Tune Preset5, Type: kNkMAIDCapType_Range, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_AFAreaPoint, Description: AF Area Point, Type: kNkMAIDCapType_Unsigned, Operations: 18
ID: kNkMAIDCapability_ManualSetLensNo, Description: Manual Set Lens No, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_AutoDXCrop, Description: Auto DX Crop, Type: kNkMAIDCapType_Boolean, Operations: 22
ID: kNkMAIDCapability_PictureControlData, Description: Picture Control Data, Type: kNkMAIDCapType_Generic, Operations: 22
ID: kNkMAIDCapability_GetPicCtrlInfo, Description: Get PicCtrl Info, Type: kNkMAIDCapType_Generic, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_DeleteCustomPictureControl, Description: Delete Custom Picture Control, Type: kNkMAIDCapType_Unsigned, Operations: kNkMAIDCapOperation_Set
ID: kNkMAIDCapability_LensType, Description: Lens Type, Type: kNkMAIDCapType_Unsigned, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_ChangedPictureControl, Description: Changed Picture Control, Type: kNkMAIDCapType_Enum, Operations: 10
ID: kNkMAIDCapability_LiveViewProhibit, Description: Live View Prohibit, Type: kNkMAIDCapType_Unsigned, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_VignetteControl, Description: Vignette Control, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_EnableCopyright, Description: Enable Copyright, Type: kNkMAIDCapType_Boolean, Operations: 22
ID: kNkMAIDCapability_ArtistName, Description: Artist Name, Type: kNkMAIDCapType_String, Operations: 6
ID: kNkMAIDCapability_CopyrightInfo, Description: Copyright Information, Type: kNkMAIDCapType_String, Operations: 6
ID: kNkMAIDCapability_AngleLevel, Description: Angle Level, Type: kNkMAIDCapType_Float, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_MovieScreenSize, Description: Movie Screen Size, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_LiveViewAF, Description: Live View AF, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_AutoDistortion, Description: Auto Distortion, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_SceneMode, Description: Scene Mode, Type: kNkMAIDCapType_Unsigned, Operations: 18
ID: kNkMAIDCapability_MovieRecMicrophone, Description: Movie Record Microphone, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_MovieRecDestination, Description: Movie Record Destination, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_ADLBracketingType, Description: ADL Bracketing Type, Type: kNkMAIDCapType_Enum, Operations: 10
ID: kNkMAIDCapability_RemainCountInMedia, Description: Remain Count In Media, Type: kNkMAIDCapType_Unsigned, Operations: 18
ID: kNkMAIDCapability_AngleLevelPitch, Description: AngleLevel Pitch, Type: kNkMAIDCapType_Float, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_AngleLevelYaw, Description: AngleLevel Yaw, Type: kNkMAIDCapType_Float, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_MovRecInCardStatus, Description: Movie Record In Card Status, Type: kNkMAIDCapType_Unsigned, Operations: 18
ID: kNkMAIDCapability_MovRecInCardProhibit, Description: Movie Record In Card Prohibit, Type: kNkMAIDCapType_Unsigned, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_ActiveSlot, Description: Active Slot, Type: kNkMAIDCapType_Unsigned, Operations: 18
ID: kNkMAIDCapability_SaveMedia, Description: Save Media, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_UserMode1, Description: User Mode1, Type: kNkMAIDCapType_Unsigned, Operations: 18
